,名称,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,演员颜值
0,一出好戏,黄渤,"['黄渤', '舒淇', '王宝强', '张艺兴', '于和伟']",7.1,['2018'],"['剧情', '喜剧']",134,691022,汉语普通话, 中国大陆,39.04
1,大话西游之大圣娶亲,刘镇伟,"['周星驰', '吴孟达', '朱茵', '蔡少芬', '蓝洁瑛']",9.2,['1995'],"['喜剧', '爱情', '奇幻', '古装']",95,923822,粤语, 中国香港,39.803333333333335
2,你的名字。,新海诚,"['神木隆之介', '上白石萌音', '长泽雅美', '市原悦子', '成田凌']",8.4,['2016'],"['剧情', '爱情', '动画']",106,844024,日语, 日本,68.01333333333334
3,哪吒之魔童降世,饺子,"['吕艳婷', '囧森瑟夫', '瀚墨', '陈浩', '绿绮']",8.5,['2019'],"['剧情', '喜剧', '动画', '奇幻']",110,1145135,汉语普通话, 中国大陆,68.66333333333333
4,头号玩家,史蒂文·斯皮尔伯格,"['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特']",8.7,['2018'],"['动作', '科幻', '冒险']",140,900462,英语, 美国,56.76
5,海王,温子仁,"['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼']",7.6,['2018'],"['动作', '奇幻', '冒险']",143,688958,英语, 美国,63.25333333333333
6,楚门的世界,彼得·威尔,"['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩']",9.3,['1998'],"['剧情', '科幻']",103,927286,英语, 美国,56.86000000000001
7,阿凡达,詹姆斯·卡梅隆,"['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹']",8.7,['2009'],"['动作', '科幻', '冒险']",162,850075,英语, 美国,64.5
8,星际穿越,克里斯托弗·诺兰,"['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩']",9.3,['2014'],"['剧情', '科幻', '冒险']",169,944425,英语, 美国,71.56
9,少年派的奇幻漂流,李安,"['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布']",9.0,['2012'],"['剧情', '奇幻', '冒险']",127,921915,英语, 美国,60.21
10,寻梦环游记,李·昂克里奇,"['安东尼·冈萨雷斯', '盖尔·加西亚·贝纳尔', '本杰明·布拉特', '阿兰娜·乌巴赫', '芮妮·维克托']",9.1,['2017'],"['喜剧', '动画', '音乐', '奇幻']",105,904396,英语, 美国,59.34
11,放牛班的春天,克里斯托夫·巴拉蒂,"['热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德', '让-保罗·博奈雷', '玛丽·布奈尔']",9.3,['2004'],"['剧情', '音乐']",97,824203,法语, 法国,45.27333333333333
12,无双,庄文强,"['周润发', '郭富城', '张静初', '冯文娟', '廖启智']",8.1,['2018'],"['剧情', '动作', '悬疑', '犯罪']",130,684084,汉语普通话, 中国大陆,66.51333333333334
13,飞屋环游记,彼特·道格特,"['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森', '戴尔里·林多']",9.0,['2009'],"['剧情', '喜剧', '动画', '冒险']",96,843055,英语, 美国,40.11333333333334
14,机器人总动员,安德鲁·斯坦顿,"['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特', '西格妮·韦弗']",9.3,['2008'],"['科幻', '动画', '冒险']",98,859396,英语, 美国,52.55666666666667
15,龙猫,宫崎骏,"['日高法子', '坂本千夏', '糸井重里', '岛本须美', '北林谷荣']",9.2,['1988'],"['动画', '奇幻', '冒险']",86,800641,日语, 日本,51.93
16,红海行动,林超贤,"['张译', '黄景瑜', '海清', '杜江', '蒋璐霞']",8.3,['2018'],"['动作', '战争']",138,747961,汉语普通话, 中国大陆,63.526666666666664
