,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,名称
0,温子仁,"['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼']",7.6,['2018'],"['动作', '奇幻', '冒险']",143,685737,英语, 美国,海王
1,斯科特·德瑞克森,"['本尼迪克特·康伯巴奇', '蒂尔达·斯文顿', '麦斯·米科尔森', '切瓦特·埃加福', '瑞秋·麦克亚当斯']",7.6,['2016'],"['动作', '奇幻', '冒险']",115,440628,英语, 美国,奇异博士
2,沙恩·布莱克,"['小罗伯特·唐尼', '盖·皮尔斯', '格温妮斯·帕特洛', '本·金斯利', '唐·钱德尔']",7.8,['2013'],"['动作', '科幻']",134,341181,英语, 美国,钢铁侠3
3,乔恩·费儒,"['小罗伯特·唐尼', '格温妮斯·帕特洛', '米基·洛克', '斯嘉丽·约翰逊', '山姆·洛克威尔']",7.6,['2010'],"['动作', '科幻', '冒险']",124,317661,英语, 美国,钢铁侠2
4,佩顿·里德,"['保罗·路德', '迈克尔·道格拉斯', '伊万杰琳·莉莉', '寇瑞·斯托尔', '迈克尔·佩纳']",7.7,['2015'],"['动作', '科幻', '冒险']",117,350398,英语, 美国,蚁人
5,罗兰·艾默里奇,"['约翰·库萨克', '阿曼达·皮特', '切瓦特·埃加福', '坦迪·牛顿', '奥利弗·普莱特']",7.9,['2009'],"['动作', '科幻', '冒险', '灾难']",158,409745,英语, 美国,2012
6,马克·奥斯本,"['杰克·布莱克', '达斯汀·霍夫曼', '安吉丽娜·朱莉', '伊恩·麦柯肖恩', '成龙']",8.0,['2008'],"['喜剧', '动作', '动画', '冒险']",95,417728,英语, 美国,功夫熊猫
7,彼特·道格特,"['约翰·古德曼', '比利·克里斯托', '玛丽·吉布斯', '史蒂夫·布西密', '詹姆斯·柯本']",8.7,['2001'],"['喜剧', '动画', '儿童', '奇幻', '冒险']",92,391272,英语, 美国,怪兽电力公司
8,温子仁,"['范·迪塞尔', '保罗·沃克', '杰森·斯坦森', '米歇尔·罗德里格兹', '乔丹娜·布鲁斯特']",8.3,['2015'],"['动作', '犯罪']",137,359321,英语, 美国,速度与激情7
9,罗伯特·罗德里格兹,"['罗莎·萨拉查', '克里斯托弗·沃尔兹', '基恩·约翰逊', '艾德·斯克林', '马赫沙拉·阿里']",7.5,['2019'],"['动作', '科幻', '冒险']",122,440852,英语, 美国,阿丽塔：战斗天使
10,吕克·贝松,"['斯嘉丽·约翰逊', '摩根·弗里曼', '崔岷植', '阿马尔·维克德', '朱利安·林希德-图特']",7.2,['2014'],"['动作', '科幻']",89,368588,英语, 法国,超体
11,凯瑟琳·哈德威克,"['克里斯汀·斯图尔特', '罗伯特·帕丁森', '比利·伯克', '阿什丽·格林尼', '妮基·瑞德']",7.4,['2008'],"['剧情', '爱情', '惊悚', '奇幻']",122,366440,英语, 美国,暮光之城
12,大卫·雷奇,"['瑞恩·雷诺兹', '乔什·布洛林', '朱利安·迪尼森', '斯蒂芬·卡皮契奇', '莎姬·贝兹']",7.3,['2018'],"['喜剧', '动作', '科幻', '冒险']",119,311229,英语, 美国,死侍2：我爱我家
13,蒂姆·米勒,"['瑞恩·雷诺兹', '莫蕾娜·巴卡琳', '艾德·斯克林', 'T·J·米勒', '吉娜·卡拉诺']",7.7,['2016'],"['喜剧', '动作', '科幻', '冒险']",108,324364,英语, 美国,死侍
14,吉尔莫·德尔·托罗,"['查理·汉纳姆', '菊地凛子', '伊德里斯·艾尔巴', '查理·戴', '朗·普尔曼']",7.6,['2013'],"['动作', '科幻', '冒险']",131,349668,英语, 美国,环太平洋
15,皮埃尔·柯芬,"['史蒂夫·卡瑞尔', '克里斯汀·韦格', '本杰明·布拉特', '米兰达·卡斯格拉夫', '拉塞尔·布兰德']",8.0,['2013'],"['喜剧', '动画', '冒险']",99,323940,英语, 美国,神偷奶爸2
16,布莱恩·辛格,"['詹姆斯·麦卡沃伊', '迈克尔·法斯宾德', '詹妮弗·劳伦斯', '尼古拉斯·霍尔特', '奥斯卡·伊萨克']",7.7,['2016'],"['动作', '科幻', '奇幻', '冒险']",144,302249,英语, 美国,X战警：天启
17,吕寅荣,"['杰克·布莱克', '安吉丽娜·朱莉', '达斯汀·霍夫曼', '加里·奥德曼', '成龙']",8.0,['2011'],"['喜剧', '动作', '动画', '冒险']",91,343876,英语, 美国,功夫熊猫2
18,鲁伯特·瓦耶特,"['詹姆斯·弗兰科', '安迪·瑟金斯', '汤姆·费尔顿', '芙蕾达·平托', '布莱恩·考克斯']",8.1,['2011'],"['剧情', '动作', '科幻']",105,328646,英语, 美国,猩球崛起
19,科林·特雷沃罗,"['克里斯·帕拉特', '布莱丝·达拉斯·霍华德', '文森特·多诺费奥', '泰·辛普金斯', '尼克·罗宾森']",7.7,['2015'],"['动作', '科幻', '冒险']",124,308913,英语, 美国,侏罗纪世界
20,路易斯·莱特里尔,"['爱德华·诺顿', '丽芙·泰勒', '蒂姆·罗斯', '威廉·赫特', '蒂姆·布雷克·尼尔森']",7.0,['2008'],"['动作', '科幻', '惊悚']",112,161490,英语, 美国,无敌浩克
21,拉斯·霍尔斯道姆,"['乔什·加德', '布丽特·罗伯森', '丹尼斯·奎德', '佩吉·利普顿', 'K·J·阿帕']",7.7,['2017'],"['剧情', '喜剧', '家庭']",101,270980,英语, 美国,一条狗的使命
22,阿方索·卡隆,"['桑德拉·布洛克', '乔治·克鲁尼', '艾德·哈里斯', '奥托·伊格内修森', '法尔杜特·夏尔马']",7.9,['2013'],"['科幻', '惊悚', '灾难']",91,332927,英语, 美国,地心引力
23,山姆·雷米,"['托比·马奎尔', '威廉·达福', '克斯汀·邓斯特', '詹姆斯·弗兰科', '克里夫·罗伯逊']",7.8,['2002'],"['动作', '科幻', '冒险']",121,254217,英语, 美国,蜘蛛侠
24,周星驰,"['周星驰', '徐娇', '张雨绮', '林子聪', '冯勉恒']",6.7,['2008'],"['喜剧', '科幻']",86,285309,英语, 中国大陆,长江七号
25,温子仁,"['雷·沃纳尔', '加利·艾尔维斯', '丹尼·格洛弗', '肯·梁', '迪娜·迈耶']",8.7,['2004'],"['悬疑', '惊悚', '恐怖']",103,312543,英语, 美国,电锯惊魂
26,吕寅荣,"['杰克·布莱克', '布莱恩·科兰斯顿', '达斯汀·霍夫曼', '安吉丽娜·朱莉', 'J·K·西蒙斯']",7.7,['2016'],"['喜剧', '动作', '动画', '冒险']",95,259948,英语, 美国,功夫熊猫3
27,罗伯·马歇尔,"['约翰尼·德普', '佩内洛普·克鲁兹', '杰弗里·拉什', '伊恩·麦柯肖恩', '凯文·麦克纳利']",7.6,['2011'],"['动作', '奇幻', '冒险']",136,270587,英语, 美国,加勒比海盗4：惊涛怪浪
28,布莱恩·辛格,"['休·杰克曼', '帕特里克·斯图尔特', '伊恩·麦克莱恩', '法米克·詹森', '詹姆斯·麦斯登']",7.7,['2000'],"['动作', '科幻']",104,217218,英语, 美国,X战警
29,菲尔·约翰斯顿,"['约翰·C·赖利', '萨拉·西尔弗曼', '盖尔·加朵', '塔拉吉·P·汉森', '杰克·麦克布瑞尔']",8.1,['2018'],"['喜剧', '动画', '奇幻', '冒险']",112,265719,英语, 美国,无敌破坏王2：大闹互联网
30,丹尼斯·维伦纽瓦,"['艾米·亚当斯', '杰瑞米·雷纳', '福里斯特·惠特克', '迈克尔·斯图巴', '马泰']",7.7,['2016'],"['剧情', '科幻']",116,309958,英语, 美国,降临
31,林诣彬,"['范·迪塞尔', '保罗·沃克', '道恩·强森', '乔丹娜·布鲁斯特', '米歇尔·罗德里格兹']",7.8,['2013'],"['动作', '惊悚', '犯罪']",130,205999,英语, 美国,速度与激情6
32,克里斯托弗·麦奎里,"['汤姆·克鲁斯', '杰瑞米·雷纳', '西蒙·佩吉', '丽贝卡·弗格森', '文·瑞姆斯']",7.8,['2015'],"['动作', '惊悚', '冒险']",131,253272,英语, 美国,碟中谍5：神秘国度
33,布莱恩·辛格,"['帕特里克·斯图尔特', '休·杰克曼', '伊恩·麦克莱恩', '哈莉·贝瑞', '法米克·詹森']",7.7,['2003'],"['动作', '科幻', '惊悚']",133,187407,英语, 美国,X战警2
34,陈木胜,"['成龙', '谢霆锋', '杨采妮', '蔡卓妍', '吴彦祖']",7.5,['2004'],"['剧情', '动作', '惊悚', '犯罪']",123,203360,英语, 中国大陆,新警察故事
35,盖瑞·马歇尔,"['安妮·海瑟薇', '朱莉·安德鲁斯', '埃克托尔·埃利松多', '希瑟·玛塔拉佐', '曼迪·摩尔']",7.5,['2001'],"['喜剧', '爱情', '家庭']",115,227779,英语, 美国,公主日记
36,布莱特·拉特纳,"['休·杰克曼', '哈莉·贝瑞', '伊恩·麦克莱恩', '帕特里克·斯图尔特', '法米克·詹森']",7.6,['2006'],"['动作', '科幻', '惊悚']",104,184032,英语, 美国,X战警3：背水一战
37,丹·斯坎隆,"['比利·克里斯托', '约翰·古德曼', '史蒂夫·布西密', '海伦·米伦', '彼得·孙']",8.1,['2013'],"['喜剧', '动画', '冒险']",104,256649,英语, 美国,怪兽大学
38,马特·里夫斯,"['安迪·瑟金斯', '杰森·克拉克', '加里·奥德曼', '凯丽·拉塞尔', '托比·凯贝尔']",7.6,['2014'],"['剧情', '动作', '科幻']",130,224423,英语, 美国,猩球崛起2：黎明之战
39,邓肯·琼斯,"['崔维斯·费米尔', '托比·凯贝尔', '宝拉·巴顿', '吴彦祖', '本·福斯特']",7.7,['2016'],"['动作', '奇幻', '冒险']",124,245724,英语, 美国,魔兽
40,塞思·麦克法兰,"['塞思·麦克法兰', '马克·沃尔伯格', '米拉·库尼斯', '乔尔·麦克哈尔', '吉奥瓦尼·瑞比西']",7.1,['2012'],['喜剧'],106,228486,英语, 美国,泰迪熊
41,巴里·索南菲尔德,"['威尔·史密斯', '汤米·李·琼斯', '乔什·布洛林', '杰梅奈·克莱门特', '艾玛·汤普森']",7.6,['2012'],"['喜剧', '动作', '科幻']",103,231525,英语, 美国,黑衣人3
42,布拉德·伯德,"['格雷格·T·尼尔森', '霍利·亨特', '莎拉·沃威尔', '赫克·米尔纳', '伊莱·富西尔']",7.9,['2018'],"['喜剧', '动作', '动画', '冒险']",118,192604,英语, 美国,超人总动员2
43,马克·韦布,"['安德鲁·加菲尔德', '艾玛·斯通', '杰米·福克斯', '戴恩·德哈恩', '坎贝尔·斯科特']",7.5,['2014'],"['动作', '科幻', '冒险']",142,199249,英语, 美国,超凡蜘蛛侠2
44,山姆·雷米,"['托比·马奎尔', '克斯汀·邓斯特', '詹姆斯·弗兰科', '阿尔弗雷德·莫里纳', '罗斯玛丽·哈里斯']",7.5,['2004'],"['动作', '科幻', '冒险']",127,183474,英语, 美国,蜘蛛侠2
45,克里斯托弗·诺兰,"['克里斯蒂安·贝尔', '迈克尔·凯恩', '连姆·尼森', '凯蒂·霍尔姆斯', '加里·奥德曼']",8.4,['2005'],"['剧情', '动作', '科幻', '惊悚', '犯罪']",140,229154,英语, 美国,蝙蝠侠：侠影之谜
46,肖恩·利维,"['本·斯蒂勒', '欧文·威尔逊', '罗宾·威廉姆斯', '迪克·范·戴克', '米基·鲁尼']",7.4,['2006'],"['喜剧', '动作', '家庭', '奇幻', '冒险']",108,197735,英语, 美国,博物馆奇妙夜
47,凯尔·巴尔达,"['桑德拉·布洛克', '乔恩·哈姆', '迈克尔·基顿', '艾莉森·珍妮', '史蒂夫·库根']",7.5,['2015'],"['喜剧', '动画']",91,192257,英语, 美国,小黄人大眼萌
48,卡洛斯·沙尔丹哈,"['雷·罗马诺', '约翰·雷吉扎莫', '丹尼斯·利瑞', '西恩·威廉·斯科特', '乔希·佩克']",8.1,['2006'],"['喜剧', '动画', '冒险']",91,180570,英语, 美国,冰川时代2：融冰之灾
49,布莱恩·德·帕尔玛,"['汤姆·克鲁斯', '强·沃特', '让·雷诺', '艾曼纽·贝阿', '克里斯汀·斯科特·托马斯']",8.1,['1996'],"['动作', '惊悚', '冒险']",110,183894,英语, 美国,碟中谍
50,山姆·雷米,"['托比·马奎尔', '克斯汀·邓斯特', '詹姆斯·弗兰科', '托马斯·哈登·丘奇', '托弗·戈瑞斯']",7.4,['2007'],"['动作', '科幻', '冒险']",139,165810,英语, 美国,蜘蛛侠3
51,迪恩·德布洛斯,"['杰伊·巴鲁切尔', '凯特·布兰切特', '杰拉德·巴特勒', '克雷格·费格森', '亚美莉卡·费雷拉']",8.0,['2014'],"['动画', '奇幻', '冒险']",102,200986,英语, 美国,驯龙高手2
52,克里斯·雷纳德,"['路易·C·K', '艾瑞克·斯通斯崔特', '凯文·哈特', '艾丽·坎伯尔', '史蒂夫·库根']",7.6,['2016'],"['喜剧', '动画']",87,194028,英语, 美国,爱宠大机密
53,巴里·库克,"['温明娜', '艾迪·墨菲', '哈维·费斯特恩', '米盖尔·弗尔', '吴汉章']",7.8,['1998'],"['剧情', '动画', '家庭', '冒险']",88,173552,英语, 美国,花木兰
54,贾森·雷特曼,"['艾伦·佩吉', '迈克尔·塞拉', '詹妮弗·加纳', '杰森·贝特曼', '艾莉森·珍妮']",7.9,['2007'],"['剧情', '喜剧', '爱情']",96,205675,英语, 美国,朱诺
55,格蕾塔·葛韦格,"['西尔莎·罗南', '劳里·梅特卡夫', '崔西·莱茨', '卢卡斯·赫奇斯', '蒂莫西·柴勒梅德']",7.9,['2017'],"['剧情', '家庭']",93,211515,英语, 美国,伯德小姐
